
=== Carrera b228b93e-2a15-4123-baf9-ca0915165c6a, Evento Mitja, Split 10K ===
       athlete_id                                         club  edad  time_split_sec
115152   5BD4DZY7                                Independiente  44.0        2405.451
121305   5CY6Z935                                Independiente  27.0        3117.145
22924    5D85FYBA                                Independiente  32.0        2941.690
8906     5D86YZ25                              Sporty Hangover  28.0        2761.515
40489    5F5F891B                                Independiente  47.0        2506.977
142496   5FADY41B                                Independiente  24.0        2474.705
145435   5YAC48A6                                Independiente  37.0        2292.614
146066   5YBC8167                                Independiente  38.0        2327.773
6507     5Z3YDAC5                                Independiente  66.0        2522.108
57973    5Z6ZDCDF                                Independiente  54.0        2270.734
989      61AFBZAD                         BROOKS TRAIL RUNNERS  32.0         936.547
40946    61D4656C                             ATLETISMO BIKILA  32.0         872.072
107587   61ZC5D6D                                        Cifla  24.0         898.664
145273   6276D3A8                                Independiente  30.0        2334.782
7251     6288AD1D                                Independiente  30.0        2632.103
86453    62Y546F4                                 C. A. Bèrnia  29.0        2817.193
2712     633DZB25                         G. A. Lluisos Mataró  35.0         970.013
143731   6364AYBB                                Independiente  25.0         989.638
20726    63AD37Y6                                Independiente  44.0        3026.374
66539    63AYB33D                                Independiente  32.0         994.361
46927    63B4ZYD2                          Pontypridd Roadents  31.0         898.324
72236    63D49DB8                                Independiente  40.0        2539.300
12944    63FY83DD                                Independiente  27.0        2289.871
62296    63Y1216A                                Independiente  24.0        2956.051
103640   6467A35B                  CLUB ESPORTIU GARRAF RUNNER  47.0        2355.453
93678    6511F57C                                         Hoka  30.0         984.718
55420    651D5874                     Cambridge + Coleridge AC  34.0         928.620
15965    6568YAC7                                Independiente  31.0         985.472
56461    659F6C73                                Independiente  29.0        2364.516
69938    65A9A7DC                                               30.0         997.590
49147    65AB3AYD                                Independiente  26.0        3355.598
27062    65F64981                                Independiente  67.0        2333.611
138537   664115AY                                               25.0         871.587
141550   66Y71Z5B                                Independiente  47.0        2334.331
162139   67AF1YY2                             dieSchweinehunde  50.0        2404.692
161818   681Y2451                                       MAPOMA  36.0        2342.276
21970    6843ZC5B                             Les Croupiers RC  26.0         983.389
26794    68692YZ3                                Independiente  76.0        2294.427
55360    688643F1                                Independiente  40.0        2352.557
50957    691Z67D5                                Independiente  56.0        2334.778
11808    692ZA77A                                 C.N.Banyoles  33.0        1002.948
10547    6982YZ25                                Independiente  28.0        2501.834
148228   6A6861D1                                Independiente  30.0         947.859
145406   6AA48ZAD                                Independiente  31.0        2428.596
107517   6AB17132                                         Puma  24.0         872.092
128918   6AYCZA34                                Western Tempo  29.0         926.717
140007   6B1FC2BA                            GA LLuïsos Mataró  49.0        2836.253
103514   6B4B4A9Z                                Nasser Allali  36.0         898.530
6916     6BDZFFZ5                                  TOP4RUNNING  31.0         929.618
40448    6BZB5265                                Independiente  31.0        2422.481
103394   6C573Y79                                Independiente  27.0        2334.539
86412    6C6Z5A9Y                                Independiente  58.0        2357.426
23122    6C966CAA                             Cárnicas Serrano  31.0         899.391
89911    6C9A3162                                     eDO Team  40.0        2783.681
25610    6CBC3Y96                                               35.0        1004.165
56921    6CD98333                                   Jølster IL  33.0         899.717
5775     6CDDA98F                                Independiente  46.0        2474.627
35017    6CZY3FAF                                Independiente  42.0        3248.044
152781   6DCA7647                                Independiente  41.0        2806.071
141263   6DD829CA                                Independiente  53.0        2519.901
47201    6F1C7654                                Independiente  68.0        2306.859
25461    6F4B167F                                Independiente  31.0        2320.735
65431    6F8Z4985                                Independiente  45.0        2975.128
121552   6F9BC9AF                                Independiente  34.0        2532.864
1249     6FY3ZCBZ                                Independiente  40.0        2419.582
107786   6Y138C52                     Leeds City Athletic Club  37.0         929.763
138882   6YCA9FB6                                Independiente  55.0        2510.874
25988    6ZF732A8                                Independiente  29.0        2321.437
63381    6ZFFYDDC                               Aarhus 1900 AL  49.0        3275.645
32588    7128637Z                                Independiente  26.0        2681.350
43000    714Z24CZ                                Independiente  27.0        3102.075
54579    716A4193                                Independiente  30.0        2501.092
20515    71862CY3                                         IRWL  29.0        2318.469
107164   7197ZYZC                            TEAM PIF CAPDENAC  27.0        1003.093
66877    71C29C5B                                Independiente  25.0        2445.894
137768   722B9977                                Independiente  43.0        3050.247
8074     724C46A9                                Western Tempo  28.0         987.787
38174    72A1DCYZ                                Independiente  55.0        3432.480
137920   72BY14BD                                Independiente  60.0        2687.483
41491    72CY11AA                                      Tyn_deg  41.0        2314.057
21160    73386CA4                        Aarhus Fremad Atletik  44.0         998.314
60464    73F7YB57                           C.A. Puertas Lorca  26.0         984.975
154669   746B514D                         A.S.D. TEAM KM SPORT  25.0         998.157
4434     74AF3B5Z                               Ding Dong Crew  36.0        2424.963
147587   74BFFC1C                                Independiente  25.0        2634.804
257      7529BBY8                         PRORUNNERS BARCELONA  46.0        3751.570
118455   753AAA1C                                Independiente  25.0        2927.306
125249   754CAAAA                             Naviglio running  64.0        2395.398
78959    7587D3A9                                Independiente  22.0        2675.284
147097   75D5Y9A3                                Independiente  37.0        2435.306
68691    76459BZ9                     Meirionnydd Running Club  28.0         973.326
107762   7694Y31A                                     IL Gular  31.0         940.985
119741   76YAF1F9                                         CEME  49.0        4413.388
147481   77AYZB96                                Independiente  47.0        2322.580
96526    78281AB2                                   Seljord IL  30.0        1000.890
160471   785YDDD2                         Xufarunners Alboraya  49.0        2712.203
76023    789C4966                                Independiente  29.0        2717.516
16163    7916Y8C5                                Independiente  30.0        2464.875
33045    79AABDD3                                Independiente  44.0        2365.430
40705    79FYAABA                             Brontolo Running  61.0        2495.380
137162   7A159761                                Independiente  45.0        3302.319
80885    7AF6AB99                                       Adidas  28.0         844.202
143677   7AZF5F9D                                Independiente  51.0        2605.564
33311    7C2D327Z                                               28.0         928.140
7585     7C8A5597                                Independiente  27.0        3184.057
130087   7CAB7C75                                     SK Vidar  34.0         899.280
101026   7DCD749A                      Triatlon PC Rías Baixas  31.0         999.961
73167    7DDYAAB4                                Independiente  25.0        3057.484
105168   7DFFB5A2                               Southampton AC  29.0         993.991
117729   7F3A3347                                Independiente  54.0        2331.909
31181    7F4FYBAD                                               33.0        3497.309
47962    7F7ZC659                               VGA saint-maur  48.0        2550.975
