athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,gender,age,age_group,rel_error,rel_error_pct
F8A1D39B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,1051.7209999999995,2002.8961,951.175118164063,1.0,29.420944558521562,20-30,-0.9043987115020662,90.43987115020661
14CFFYDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,1207.299000000001,2838.1143,1630.815257812499,0.0,33.086926762491444,30-40,-1.3507964940430675,135.07964940430674
8C2YB7AF,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,579.6799999999994,1042.7891,463.1090625000006,1.0,44.120465434633815,40-50,-0.7989046744774642,79.89046744774642
93DA6741,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,824.7909999999993,2515.7258,1690.9348300781257,0.0,44.70636550308008,40-50,-2.0501373414937722,205.01373414937723
C3F85F51,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,645.8799999999992,1924.274,1278.3940478515633,1.0,32.38603696098563,30-40,-1.9793058244136048,197.93058244136049
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,901.1489999999994,2066.5764,1165.4274160156256,0.0,19.003422313483917,<20,-1.2932682771909618,129.32682771909617
DYY89BF8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,855.3800000000001,1654.6034,799.2233935546874,0.0,50.88569472963724,50-60,-0.9343489357014875,93.43489357014874
YC39Y58C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,1450.9519999999993,2335.919,884.9669453125007,1.0,63.55099247091034,60+,-0.609921585760645,60.992158576064504
14CFFYDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,1207.299000000001,2789.1997,1581.900707031249,0.0,33.086926762491444,30-40,-1.3102808051037622,131.0280805103762
DYY89BF8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,855.3800000000001,1649.8352,794.4552050781249,0.0,50.88569472963724,50-60,-0.9287745845698405,92.87745845698406
7D152B6Y,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,1241.6560000000009,1946.1912,704.5351621093741,0.0,41.24024640657084,40-50,-0.5674157427999043,56.741574279990424
AC8711F4,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,1332.369999999999,2212.5344,880.164423828126,0.0,37.00479123887748,30-40,-0.660600601310091,66.0600601310091
C279DB3C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,700.4499999999989,1903.7334,1203.283398437501,0.0,43.83846680355921,40-50,-1.7178719347842544,171.78719347842545
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,901.1489999999994,1962.75,1061.6010000000006,0.0,19.003422313483917,<20,-1.1780526847635058,117.80526847635058
