
=== Evento(s): Stage 6 & Stage 3 & Stage 4 & Stage 2 & Stage 5 & Stage 1 ===
                                  athlete_id    split  netTime_sec         anomaly_type
164664  1783fbd8-d4b7-5e08-bc47-5dd46263d330      CP1     1575.280  Velocidad imposible
164665  1783fbd8-d4b7-5e08-bc47-5dd46263d330      EH1     2325.130  Velocidad imposible
164666  1783fbd8-d4b7-5e08-bc47-5dd46263d330      CP2     4223.469  Velocidad imposible
164667  1783fbd8-d4b7-5e08-bc47-5dd46263d330      CP3     4775.583  Velocidad imposible
164684  07ce9450-6257-5c72-8790-f2eb8819b1f4     Meta     9660.570  Velocidad imposible
164687  07ce9450-6257-5c72-8790-f2eb8819b1f4      EH1     3193.195  Velocidad imposible
164688  07ce9450-6257-5c72-8790-f2eb8819b1f4      CP2     4799.510  Velocidad imposible
164714  07ce9450-6257-5c72-8790-f2eb8819b1f4      CP1     1640.670  Velocidad imposible
164715  07ce9450-6257-5c72-8790-f2eb8819b1f4      EH1     2452.960  Velocidad imposible
164716  07ce9450-6257-5c72-8790-f2eb8819b1f4      CP2     4492.156  Velocidad imposible
164717  07ce9450-6257-5c72-8790-f2eb8819b1f4      CP3     5052.659  Velocidad imposible
164737  80d628b8-fee2-50d8-9241-a22db2cdd013      EH1     3011.107  Velocidad imposible
164738  80d628b8-fee2-50d8-9241-a22db2cdd013      CP2     4575.880  Velocidad imposible
164764  80d628b8-fee2-50d8-9241-a22db2cdd013      CP1     1582.920  Velocidad imposible
164765  80d628b8-fee2-50d8-9241-a22db2cdd013      EH1     2372.740  Velocidad imposible
164766  80d628b8-fee2-50d8-9241-a22db2cdd013      CP2     4285.186  Velocidad imposible
164767  80d628b8-fee2-50d8-9241-a22db2cdd013      CP3     4797.100  Velocidad imposible
164784  74439deb-77eb-5293-9686-ada7b9b0457e     Meta     8147.797  Velocidad imposible
164786  74439deb-77eb-5293-9686-ada7b9b0457e      CP1     1682.125  Velocidad imposible
164787  74439deb-77eb-5293-9686-ada7b9b0457e      EH1     2934.219  Velocidad imposible
164788  74439deb-77eb-5293-9686-ada7b9b0457e      CP2     4375.129  Velocidad imposible
164796  74439deb-77eb-5293-9686-ada7b9b0457e      CP1     3068.421  Velocidad imposible
164797  74439deb-77eb-5293-9686-ada7b9b0457e      CP2     5130.391  Velocidad imposible
164798  74439deb-77eb-5293-9686-ada7b9b0457e      CP3     6339.382  Velocidad imposible
164799  74439deb-77eb-5293-9686-ada7b9b0457e      EH2     8346.631  Velocidad imposible
164805  74439deb-77eb-5293-9686-ada7b9b0457e      CP1     2192.830  Velocidad imposible
164806  74439deb-77eb-5293-9686-ada7b9b0457e      EH1     2975.498  Velocidad imposible
164807  74439deb-77eb-5293-9686-ada7b9b0457e      CP2     3595.009  Velocidad imposible
164808  74439deb-77eb-5293-9686-ada7b9b0457e      EH2     7019.790  Velocidad imposible
164809  74439deb-77eb-5293-9686-ada7b9b0457e      EH3     9667.700  Velocidad imposible
164810  74439deb-77eb-5293-9686-ada7b9b0457e      CP4    11737.863  Velocidad imposible
164811  74439deb-77eb-5293-9686-ada7b9b0457e   Lastkm    12376.290  Velocidad imposible
164812  74439deb-77eb-5293-9686-ada7b9b0457e     Meta    12512.203  Velocidad imposible
164814  74439deb-77eb-5293-9686-ada7b9b0457e      CP1     1381.490  Velocidad imposible
164815  74439deb-77eb-5293-9686-ada7b9b0457e      EH1     2086.300  Velocidad imposible
164816  74439deb-77eb-5293-9686-ada7b9b0457e      CP2     3803.681  Velocidad imposible
164817  74439deb-77eb-5293-9686-ada7b9b0457e      CP3     4319.782  Velocidad imposible
164818  74439deb-77eb-5293-9686-ada7b9b0457e      EH2     6947.495  Velocidad imposible
164819  74439deb-77eb-5293-9686-ada7b9b0457e      CP4     7668.592  Velocidad imposible
164916  3082b6ee-6ac3-5290-a3b3-64fd0a788f2b      CP1     2034.140  Velocidad imposible
164917  3082b6ee-6ac3-5290-a3b3-64fd0a788f2b      EH1     2979.690  Velocidad imposible
164967  cb14f4a0-5fe9-5371-a45a-5bb3fe279cd8      CP1     2009.290  Velocidad imposible
164968  cb14f4a0-5fe9-5371-a45a-5bb3fe279cd8      EH1     2922.920  Velocidad imposible
164987  69f3f567-9bc6-5aa8-ac7b-819f367c3b64     Meta     8758.097  Velocidad imposible
164990  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      EH1     3004.881  Velocidad imposible
164991  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP2     4560.316  Velocidad imposible
164993  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP3     8579.932  Velocidad imposible
165008  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP1     2187.569  Velocidad imposible
165009  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      EH1     3031.679  Velocidad imposible
165010  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP2     3696.039  Velocidad imposible
165017  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP1     1463.750  Velocidad imposible
165018  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      EH1     2209.720  Velocidad imposible
165019  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP2     3988.694  Velocidad imposible
165020  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP3     4470.471  Velocidad imposible
165021  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      EH2     7093.965  Velocidad imposible
165022  69f3f567-9bc6-5aa8-ac7b-819f367c3b64      CP4     7841.115  Velocidad imposible
165067  f6d8164d-f4c7-5b24-b4ad-c50064ca8c0d      CP1     1758.660  Velocidad imposible
165068  f6d8164d-f4c7-5b24-b4ad-c50064ca8c0d      EH1     2635.210  Velocidad imposible
165069  f6d8164d-f4c7-5b24-b4ad-c50064ca8c0d      CP3     4920.876  Velocidad imposible
165117  f1ec3b5c-f36c-53f3-ab0a-5e1e35904912      CP1     2120.760  Velocidad imposible
165192  fcd94791-504e-54e1-a735-3551abd88a4f      CP2     5065.194  Velocidad imposible
165218  fcd94791-504e-54e1-a735-3551abd88a4f      CP1     1660.190  Velocidad imposible
165219  fcd94791-504e-54e1-a735-3551abd88a4f      EH1     2460.650  Velocidad imposible
165220  fcd94791-504e-54e1-a735-3551abd88a4f      CP2     4490.348  Velocidad imposible
165221  fcd94791-504e-54e1-a735-3551abd88a4f      CP3     5044.943  Velocidad imposible
165269  a6d48ada-9100-52b5-8622-ec0279e0e9de      CP1     1979.540  Velocidad imposible
165270  a6d48ada-9100-52b5-8622-ec0279e0e9de      EH1     2834.800  Velocidad imposible
165289  0fd24c82-284f-5ceb-984d-2b67e105686d     Meta     9407.793  Velocidad imposible
165292  0fd24c82-284f-5ceb-984d-2b67e105686d      EH1     3229.194  Velocidad imposible
165293  0fd24c82-284f-5ceb-984d-2b67e105686d      CP2     4844.454  Velocidad imposible
165311  0fd24c82-284f-5ceb-984d-2b67e105686d      CP1     1826.710  Velocidad imposible
165312  0fd24c82-284f-5ceb-984d-2b67e105686d      EH1     2722.650  Velocidad imposible
165381  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea     Meta     8755.430  Velocidad imposible
165384  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      EH1     3004.606  Velocidad imposible
165385  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      CP2     4560.962  Velocidad imposible
165387  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      CP3     8582.374  Velocidad imposible
165411  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      CP1     1585.750  Velocidad imposible
165412  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      EH1     2371.700  Velocidad imposible
165413  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      CP2     4278.630  Velocidad imposible
165414  78d8d116-5a0d-5987-8a23-1dd0d1bb09ea      CP3     4809.683  Velocidad imposible
165434  9a105cf0-13df-5422-ae30-b536ee2e160d      EH1     3008.541  Velocidad imposible
165435  9a105cf0-13df-5422-ae30-b536ee2e160d      CP2     4743.149  Velocidad imposible
165462  9a105cf0-13df-5422-ae30-b536ee2e160d      CP1     1743.780  Velocidad imposible
165463  9a105cf0-13df-5422-ae30-b536ee2e160d      EH1     2569.620  Velocidad imposible
165464  9a105cf0-13df-5422-ae30-b536ee2e160d      CP2     4613.237  Velocidad imposible
165508  1f9e843d-c956-5658-90f1-b970c45f3d4e      CP3    21982.081    Outlier de tiempo
165513  1f9e843d-c956-5658-90f1-b970c45f3d4e      CP1     2079.270  Velocidad imposible
165533  d9f479b8-4377-5f01-82ff-eb4685972e2f     Meta     9041.228  Velocidad imposible
165536  d9f479b8-4377-5f01-82ff-eb4685972e2f      EH1     3009.108  Velocidad imposible
165537  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP2     4554.369  Velocidad imposible
165539  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP3     8312.681  Velocidad imposible
165563  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP1     1514.680  Velocidad imposible
165564  d9f479b8-4377-5f01-82ff-eb4685972e2f      EH1     2263.030  Velocidad imposible
165565  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP2     3987.952  Velocidad imposible
165566  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP3     4469.519  Velocidad imposible
165567  d9f479b8-4377-5f01-82ff-eb4685972e2f      EH2     7095.716  Velocidad imposible
165568  d9f479b8-4377-5f01-82ff-eb4685972e2f      CP4     7857.691  Velocidad imposible
165583  9774f916-1fc1-5f90-818b-e40f5554de20     Meta     9544.156  Velocidad imposible
165587  9774f916-1fc1-5f90-818b-e40f5554de20      CP2     5068.472  Velocidad imposible
165613  9774f916-1fc1-5f90-818b-e40f5554de20      CP1     1555.920  Velocidad imposible
165614  9774f916-1fc1-5f90-818b-e40f5554de20      EH1     2324.830  Velocidad imposible
165615  9774f916-1fc1-5f90-818b-e40f5554de20      CP2     4223.982  Velocidad imposible
165616  9774f916-1fc1-5f90-818b-e40f5554de20      CP3     4773.727  Velocidad imposible
165686  091d9ff9-9024-560b-b9b2-0fcda5ba0fed     Meta     9187.564  Velocidad imposible
165689  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      EH1     3009.809  Velocidad imposible
165690  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      CP2     4571.355  Velocidad imposible
165716  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      CP1     1639.950  Velocidad imposible
165717  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      EH1     2452.470  Velocidad imposible
165718  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      CP2     4486.363  Velocidad imposible
165719  091d9ff9-9024-560b-b9b2-0fcda5ba0fed      CP3     5052.019  Velocidad imposible
165762  d60bcb98-913f-5234-8330-911129c7e102      CP3    22748.766    Outlier de tiempo
