================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
fatigue_10K               18603.0000                         1.0005                         0.3782                         0.9948                         1.0023                         1.0090                         1.7995    0.0193
fatigue_15K               18603.0000                         0.9960                         0.2705                         0.9883                         0.9969                         1.0056                         1.3213    0.0222
fatigue_20K               18603.0000                         0.9978                         0.3304                         0.9904                         1.0012                         1.0107                         3.4791    0.0331
fatigue_Media             18603.0000                         0.9061                         0.0377                         0.8985                         0.9184                         0.9307                         2.6588    0.0528
fatigue_25K               18603.0000                         1.0238                         0.2608                         1.0142                         1.0320                         1.0439                         1.5714    0.0420
fatigue_30K               18603.0000                         0.9581                         0.2094                         0.9342                         0.9768                         0.9995                         1.2339    0.0629
fatigue_35K               18603.0000                         0.9480                         0.2361                         0.9118                         0.9669                         0.9992                         2.3284    0.0813
fatigue_40K               18603.0000                         0.9170                         0.3117                         0.8671                         0.9313                         0.9794                         6.4574    0.1015
fatigue_Meta              18603.0000                         0.9584                         0.1070                         0.9089                         0.9643                         1.0137                         1.7589    0.0890
ratio_time_total_5K       18603.0000                         0.1132                         0.0378                         0.1096                         0.1146                         0.1180                         0.1506    0.0071
ratio_time_total_10K      18603.0000                         0.1130                         0.0146                         0.1097                         0.1142                         0.1173                         0.1650    0.0067
ratio_time_total_15K      18603.0000                         0.1137                         0.0712                         0.1109                         0.1149                         0.1177                         0.2299    0.0059
ratio_time_total_20K      18603.0000                         0.1136                         0.0058                         0.1111                         0.1145                         0.1168                         0.1588    0.0053
ratio_time_total_Media    18603.0000                         0.0257                         0.0049                         0.0249                         0.0256                         0.0261                         0.1335    0.0023
ratio_time_total_25K      18603.0000                         0.0902                         0.0529                         0.0886                         0.0905                         0.0919                         0.1371    0.0038
ratio_time_total_30K      18603.0000                         0.1216                         0.0798                         0.1180                         0.1199                         0.1233                         0.3928    0.0072
ratio_time_total_35K      18603.0000                         0.1241                         0.0445                         0.1187                         0.1216                         0.1271                         0.3611    0.0093
ratio_time_total_40K      18603.0000                         0.1300                         0.0059                         0.1217                         0.1274                         0.1355                         0.2541    0.0123
ratio_time_total_Meta     18603.0000                         0.0549                         0.0279                         0.0515                         0.0541                         0.0573                         0.3618    0.0063
PCA1                      18603.0000                         0.5080                        -4.3481                        -1.4985                         0.1725                         2.0741                        12.3844    2.6112
