
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
375543                              3F92ZB37    10K     5005.238  Outlier de tiempo
375544                              3F92ZB37    15K     7249.714  Outlier de tiempo
375545                              3F92ZB37    20K     9769.003  Outlier de tiempo
375546                              3F92ZB37  Media    10328.294  Outlier de tiempo
375547                              3F92ZB37    25K    12532.660  Outlier de tiempo
375548                              3F92ZB37    30K    15431.370  Outlier de tiempo
376008                              A21A8D7B     5K     2998.328  Outlier de tiempo
376009                              A21A8D7B    10K     4709.709  Outlier de tiempo
376345                              Y99Z83D8     5K     2450.420  Outlier de tiempo
376346                              Y99Z83D8    10K     5071.986  Outlier de tiempo
376347                              Y99Z83D8    15K     7763.027  Outlier de tiempo
376348                              Y99Z83D8    20K    10489.074  Outlier de tiempo
376349                              Y99Z83D8  Media    11094.105  Outlier de tiempo
376350                              Y99Z83D8    25K    13259.750  Outlier de tiempo
376351                              Y99Z83D8    30K    16161.680  Outlier de tiempo
376352                              Y99Z83D8    35K    19117.550  Outlier de tiempo
376353                              Y99Z83D8    40K    22056.884  Outlier de tiempo
376354                              Y99Z83D8   Meta    23356.993  Outlier de tiempo
376705                              F4D24811    10K     4657.460  Outlier de tiempo
376706                              F4D24811    15K     7177.364  Outlier de tiempo
376707                              F4D24811    20K     9594.096  Outlier de tiempo
376708                              F4D24811  Media    10120.558  Outlier de tiempo
376709                              F4D24811    25K    12111.605  Outlier de tiempo
376710                              F4D24811    30K    14900.462  Outlier de tiempo
376711                              F4D24811    35K    17541.655  Outlier de tiempo
376712                              F4D24811    40K    20517.581  Outlier de tiempo
376713                              F4D24811   Meta    21827.220  Outlier de tiempo
379931                              D9AY2737   Meta    21354.372  Outlier de tiempo
380238                              12A1D3YZ    15K     7004.922  Outlier de tiempo
380239                              12A1D3YZ    20K     9358.090  Outlier de tiempo
380240                              12A1D3YZ  Media     9978.346  Outlier de tiempo
380241                              12A1D3YZ    25K    11883.865  Outlier de tiempo
380870                              DBBZD29C    25K    11882.576  Outlier de tiempo
380871                              DBBZD29C    30K    14826.476  Outlier de tiempo
380872                              DBBZD29C    35K    17558.076  Outlier de tiempo
380873                              DBBZD29C    40K    20395.548  Outlier de tiempo
380874                              DBBZD29C   Meta    21508.205  Outlier de tiempo
380975                              ZFB298C6    10K     4781.974  Outlier de tiempo
381300                              3347Y4BA    10K     1675.014  Outlier de tiempo
381403                              Y4Z6A9Y8    10K     4826.278  Outlier de tiempo
381679                              55Z85178    25K    11957.811  Outlier de tiempo
381680                              55Z85178    30K    14907.561  Outlier de tiempo
381681                              55Z85178    35K    17828.851  Outlier de tiempo
381682                              55Z85178    40K    20565.795  Outlier de tiempo
381683                              55Z85178   Meta    21758.010  Outlier de tiempo
382269                              5ZAC116B    15K     9543.428  Outlier de tiempo
